start,miny,maxy,center,trend,amplitude,minmaxamplitude,last_point,mina,maxa
1533159900,1533161700,1533166200,1533165000,-0.0005768181178442778,0.0008522168005824358,0.0011792234604108387,1.1658772159090915,-0.0003446505131962763,0.0008345729472145624
1533165300,1533165600,1533170400,1533168900,0.00019670454291816452,0.0013710357159807572,0.00034212932551350053,1.1661664772727274,-0.00016362859237520233,0.00017850073313829817
1533165600,1533165900,1533171000,1533169500,0.00023392045028122863,0.0012229061573569562,0.00034523112170166127,1.1661941477272737,-0.0001556416788853321,0.00018958944281632917
1533165900,1533166200,1533171300,1533169800,0.00024204544981848935,0.001121611297157103,0.00034798313782993253,1.1662091477272725,-0.0001585091642226866,0.00018947397360724594
1533166200,1533166500,1533171900,1533170100,0.000256874994350544,0.0009123569346355011,0.00035300604838730545,1.1662287500000001,-0.00016145362903210447,0.00019155241935520095
1533166500,1533166800,1533172800,1533170700,0.0002637499938837227,0.0008274229184248231,0.0003451822580645114,1.1662437499999998,-0.0001536903225807773,0.0001914919354837341
1533171900,1533172200,1533176100,1533174300,1.6931818180124347e-05,0.0005991008267277822,0.00044591568914962296,1.166265340909091,-0.00018470234604126557,0.0002612133431083574
1533172200,1533172500,1533176400,1533174600,1.2727272725922026e-05,0.0007043809898148271,0.0004446950146625328,1.1662726136363635,-0.0001919714076245471,0.0002527236070379857
1533172500,1533172800,1533177000,1533175200,6.136363632925496e-06,0.0008221204862762911,0.0004427815249256728,1.166273068181817,-0.00019307844574707468,0.00024970307917859813
1533174000,1533174300,1533178200,1533176400,-0.00015073863522246592,0.0009262204310972303,0.00042371964809383655,1.166199318181818,-0.00019542602639298855,0.000228293621700848
1533180600,1533180900,1533183000,1533182100,-0.0005914772037528342,0.0002088396999565018,0.000923482697946838,1.1658836363636362,-0.00043331774193521965,0.0004901649560116184
1533180900,1533181200,1533184500,1533183000,-0.0007232953284144801,0.00045673022144423326,0.0008704152492663297,1.1658039772727269,-0.00038770630498495605,0.0004827089442813737
1533182700,1533183000,1533187800,1533186300,-0.001313237881427441,0.0005868826273734657,0.0007391365469204159,1.165346818181819,-0.00035793053518966554,0.0003812060117307503
1533183000,1533183300,1533188100,1533186600,-0.0013771582202871612,0.0005495404266160001,0.0007225642228743201,1.1652895454545447,-0.0003738728739013464,0.0003486913489729737
1533183300,1533183600,1533188700,1533187200,-0.0014159081447076886,0.0006698025672523324,0.0006077771260999398,1.1652470454545447,-0.0002910102639304135,0.0003167668621695263
1533183600,1533183900,1533189000,1533187500,-0.001504487501234069,0.00047765013081895895,0.0005728467008796301,1.165169943181819,-0.0002960871700874268,0.0002767595307922033
1533183900,1533184200,1533189000,1533187500,-0.0015705100724135463,0.0006816273453988229,0.0005976854838713307,1.1650956818181817,-0.00030469061583608513,0.00029299486803524566
1533189900,1533190200,1533192900,1533191700,-0.0007893748360457945,0.0005707865903184161,0.0005409254032267885,1.1646824999999992,-0.00022888911290350756,0.00031203629032328095
1533190200,1533190500,1533193500,1533192300,-0.0007463634977742001,0.0006245917739499537,0.0005363519061583766,1.1646830681818183,-0.00024757258064529887,0.0002887793255130777
1533190500,1533190800,1533194100,1533192600,-0.0006473862731951091,0.0009082418934279616,0.0005960868035192091,1.1647156818181816,-0.0002617686217009263,0.00033431818181828277
1533192600,1533192900,1533197400,1533195900,-0.00046539769367122267,0.0009490407408868635,0.001025764589442799,1.164665113636364,-0.000415916715542739,0.0006098478739000601
1533192900,1533193200,1533198000,1533196500,-0.0004684658748202236,0.0006823619061674094,0.001025491422287441,1.164624829545455,-0.00039076818181879244,0.0006347232404686487
1533193200,1533193500,1533198600,1533197100,-0.0005526703982759252,0.0006334278407102542,0.00106277364369487,1.1645477272727272,-0.0003796413123165809,0.0006831323313782889
1533193500,1533193800,1533200400,1533198600,-0.0006253976457355649,0.0003738746150658359,0.0010755990469210096,1.1644832386363644,-0.0003598824046927618,0.0007157166422282479
1533194700,1533196500,1533201600,1533200400,-0.0013544878080322573,0.0009204197645137452,0.001714022727272484,1.1638930681818178,-0.0007240227272724375,0.0009900000000000464
1533197400,1533197700,1533201600,1533200400,-0.0024586882274283497,0.0005681929103000837,0.0014738044354838831,1.1628659659090907,-0.00052671132697939,0.0009470931085044931
1533195300,1533197700,1533203400,1533201900,-0.0017629527190300889,0.0008133539937112793,0.0016583032258070318,1.1635666477272733,-0.0005873849706749734,0.0010709182551320584
1533197700,1533198000,1533201900,1533200700,-0.002498062985567407,0.0005706843573522128,0.0014612298387100431,1.1627822159090913,-0.00053510263929617,0.0009261271994138731
1533195900,1533198900,1533206400,1533204300,-0.0020619288960430525,0.0007504993003148,0.0016716459677426476,1.16330840909091,-0.0005912500733145487,0.001080395894428099
1533199200,1533199500,1533204300,1533202800,-0.002607607726102594,0.000537648828458092,0.0014262459677417238,1.1623886931818181,-0.0005978533724342982,0.0008283925953074256
1533199500,1533199800,1533204600,1533203100,-0.0027032888695228477,0.0007385537136434387,0.00139568951612854,1.1622621022727266,-0.0006050718475077765,0.0007906176686207633
1533196500,1533199800,1533207900,1533205500,-0.0023757341667165447,0.0006253029260307629,0.0016251976539589208,1.1630399431818181,-0.0005713285190617867,0.001053869134897134
1533199800,1533200100,1533204900,1533203100,-0.002732834105788083,0.0006890983400067692,0.0013862540322577166,1.1621623295454542,-0.0006087998533725214,0.0007774541788851952
1533200100,1533200400,1533205500,1533203700,-0.002658743735168847,0.0007294793075026659,0.0014099153225803685,1.1621143749999998,-0.0006057419354841054,0.0008041733870962631
1533200400,1533200700,1533205800,1533203700,-0.0025559603431052355,0.0007635382826410355,0.001442739919354441,1.1620829545454534,-0.0005967593475074029,0.0008459805718470381
