start,miny,maxy,center,trend,amplitude,minmaxamplitude,last_point,isgood,state,mina,maxa
574,575,583,580,-0.000107499999585162,0.0018185418436040307,0.0007834285714281464,1.1704300000000005,False,0,-0.0002834285714286455,0.0004999999999995008
588,589,603,599,-0.0011441661673845223,0.001130014212380301,0.0006941690476190043,1.1674116666666667,False,0,-0.00029964523809524303,0.0003945238095237613
589,590,603,597,-0.0005866665993606506,0.0018019252498176134,0.0007224285714284795,1.1675766666666667,False,0,-0.0002581428571426736,0.0004642857142858059
590,591,603,597,-0.0005491666114613112,0.0018839777320436052,0.0007266071428570165,1.1675491666666662,False,0,-0.00028648809523859067,0.0004401190476184258
602,607,621,618,0.0010691662592726297,0.0019763333733983576,0.0009296190476189725,1.1692783333333334,True,-1,-0.0002869999999999972,0.0006426190476189753
603,608,624,620,0.000759166520822167,0.0017286912430430589,0.0008813619047621657,1.1693008333333332,False,0,-0.00032993333333340756,0.0005514285714287581
616,617,624,621,-0.0005316666165708544,0.0015897408568652828,0.0007802476190477403,1.166769166666667,False,0,-0.00040512857142863015,0.0003751190476191102
617,618,625,622,-0.0004549999686010844,0.001865342495472803,0.0008003999999999323,1.1666824999999998,False,0,-0.0003378999999996779,0.0004625000000002544
618,619,629,625,1.5833333330448617e-05,0.002997710990234578,0.0004483642857139847,1.1668216666666662,False,0,-0.0001909833333332811,0.0002573809523807036
626,627,642,637,0.0010333329655433318,0.00467167689364609,0.00023649523809524453,1.1679091666666668,False,0,-0.00011804285714292817,0.00011845238095231636
627,628,644,639,0.0010799995800973739,0.0037648564245129934,0.00024702857142853583,1.1680575000000006,False,0,-8.452857142802637e-05,0.00016250000000050946
628,629,648,642,0.0009441663861079965,0.0024605287353178765,0.0004014214285716955,1.1680683333333335,True,-1,-0.00018511190476200757,0.00021630952380968793
629,630,651,645,0.00048583329510623786,0.001958644038277298,0.000462514285715443,1.1679341666666656,True,-1,-0.00023906190476354893,0.00022345238095189401
631,635,650,647,0.00030249999077454695,0.0016670192679097125,0.00031522857142858736,1.1680350000000006,False,0,-0.00012022857142908626,0.00019499999999950113
641,642,649,645,0.00027499999306795594,0.0027317029405625895,0.00038892857142849293,1.16694,False,0,-0.00015892857142854044,0.00022999999999995246
640,651,679,671,-0.00029083332513317803,0.002383696881146047,0.0005538285714286673,1.1666733333333335,False,0,-0.00021799523809524324,0.000335833333333424
642,654,682,674,0.00014499999898296524,0.0018820229206870335,0.0004690714285714659,1.1668249999999998,True,-1,-0.00010335714285694133,0.0003657142857145246
654,655,670,663,-0.00022833332936602582,0.0034050233994659955,0.00015859047619034783,1.165480833333333,False,0,-4.7757142857509646e-05,0.00011083333333283818
655,656,673,666,1.333333333218647e-05,0.0032440677699632024,0.0002432857142856504,1.1655891666666665,False,0,-9.911904761903846e-05,0.00014416666666661193
656,657,676,669,0.0003658333170126396,0.0030912112005409857,0.0003573095238097368,1.1658016666666664,False,0,-0.00014897619047614884,0.00020833333333358794
657,658,677,669,0.000320833322325104,0.0023577099926587785,0.0003769333333334579,1.1658291666666667,False,0,-0.00015026666666686063,0.0002266666666665973
658,659,675,669,0.0004774999637078085,0.0020459014526359185,0.00031452857142888924,1.1659749999999995,False,0,-0.0001431000000001781,0.00017142857142871115
659,660,681,673,0.0004866666282439874,0.0012168422538164016,0.0003580952380956459,1.1660033333333328,True,-1,-0.00014285714285759975,0.00021523809523804616
663,665,683,679,-0.0009799996862683848,0.0013030374924776975,0.0003624000000001359,1.1649900000000004,False,0,3.760000000026416e-05,0.00040000000000040004
662,666,682,678,-0.001052499611360787,0.0011321174316319606,0.0007744285714289934,1.1649950000000007,False,0,-0.00028085714285712275,0.0004935714285718706
669,679,705,697,-0.0002408333286773011,0.0011572475650573778,0.0006497190476189507,1.1648783333333332,False,0,-0.0003444809523809811,0.00030523809523796963
683,684,698,691,-0.00018499999788911605,0.0015572139994586823,5.799999999993588e-05,1.1639775,False,0,-2.121428571415507e-05,3.678571428578081e-05
684,685,698,692,-0.0001266666659891762,0.0015664983846690659,0.00012990476190459787,1.1639991666666667,False,0,-4.90714285712901e-05,8.083333333330778e-05
685,686,699,693,-6.83333332267553e-05,0.0014592730435791994,0.00011742857142851281,1.1640158333333335,False,0,-6.159523809514677e-05,5.583333333336604e-05
